2026-01-28T04:14:08.000000000Z [inf]  Starting Container
2026-01-28T05:25:54.906250371Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 5] Making retry decision...
2026-01-28T05:25:54.906257331Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:Retrying (attempt 2/3)...
2026-01-28T05:25:54.906264396Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 3] Generating answer (attempt 8)...
2026-01-28T05:25:54.906269656Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 4] Validating response...
2026-01-28T05:25:54.906276346Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-flash (key #1/1, skip_test=True)
2026-01-28T05:25:55.249994451Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T05:25:55.250249129Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rotronic_ag_0cf3eeb5b751b89820d4a46e3de84884.jpg
2026-01-28T05:25:55.250252996Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-flash
2026-01-28T05:25:55.250258907Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent initialized
2026-01-28T05:25:55.250262804Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent validating response...
2026-01-28T05:25:55.761472962Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rotronic_ag_66e901bd76db879bb2e4c44677db9f7b.png
2026-01-28T05:25:56.252542865Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 5] Making retry decision...
2026-01-28T05:25:56.252554763Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:Retrying (attempt 2/3)...
2026-01-28T05:25:56.252563515Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 3] Generating answer (attempt 2)...
2026-01-28T05:25:56.252571560Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 4] Validating response...
2026-01-28T05:25:56.252580772Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-flash (key #1/1, skip_test=True)
2026-01-28T05:25:56.252588373Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-flash
2026-01-28T05:25:56.252687729Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T05:25:56.252692660Z [err]  INFO:agentic.shared_agents:Validation complete: valid=False, score=0.50
2026-01-28T05:25:56.252697481Z [err]  WARNING:agentic.standards_rag.standards_rag_workflow:Validation failed: Issues: The response completely failed to adhere to the critical instruction to output ONLY valid JSON. It provided plain text instead of a JSON object., The response did not provide any of the requested technical specifications for a Variable Frequency Drive (VFD)., The response is a refusal to answer the question, rather than an attempt to fulfill the user's request for information in a specific format.. The model must adhere to the critical JSON formatting instructions. If it cannot provide specific values, it should still output a valid JSON object, perhaps with null values or an 'error' field explaining its limitation, while still respecting the JSON structure. For example: `{"error": "I cannot provide specific technical specifications for VFDs according to industrial standards without access to relevant documents.", "accuracy": null, "range": null, ...}`. The primary failure here is the complete disregard for the JSON output requirement.
2026-01-28T05:25:56.253954815Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent initialized
2026-01-28T05:25:56.253960880Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent validating response...
2026-01-28T05:25:56.253965941Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T05:25:56.456648176Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rotronic_ag_f7f72cbb2b4f3d0f6840b47889cbcac7.jpg
2026-01-28T05:25:57.298018831Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] No Google CSE results, trying SerpAPI...
2026-01-28T05:25:57.298033058Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] SerpAPI found 100 images for ABB
2026-01-28T05:25:57.298041197Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] Retrieved 100 images for ABB
2026-01-28T05:25:57.298187763Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rotronic_ag_e96240d7fc412cb9a574ad088982b4fc.jpg
2026-01-28T05:25:57.298194980Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] Enriched 1 matches with images
2026-01-28T05:25:57.298201541Z [err]  INFO:product_search_workflow.vendor_analysis_tool:[VendorAnalysisTool] Fetching images for vendor: ABB
2026-01-28T05:25:57.298208583Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] Fetching images for vendor: ABB
2026-01-28T05:25:57.298215417Z [err]  WARNING:agentic.vendor_image_utils:[VENDOR_IMAGES] Google CSE credentials not configured
2026-01-28T05:25:57.427825006Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://electrification.us.abb.com/sites/default/files/2024-02/slider-image-reliagear-2_1280x720.jpg: 403
2026-01-28T05:25:57.506856296Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.ohmelektrik.com/wp-content/uploads/2020/02/kacak-akim_n-2-768x560.jpg: 403
2026-01-28T05:25:59.239048710Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://upload.wikimedia.org/wikipedia/commons/0/00/ABB_logo.svg: 403
2026-01-28T05:25:59.380248157Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://bloginnovative.wordpress.com/files/2009/05/abb.jpg?w=640: 404
2026-01-28T05:25:59.743765105Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.goagilix.com/wp-content/uploads/2021/09/ABB-Installation-Products.png: 403
2026-01-28T05:26:00.867155204Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://electrical-junction.com/media/catalog/category/ABB-DEALER-DUBAI.jpg: 403
2026-01-28T05:26:01.385107752Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://electrification.us.abb.com/sites/default/files/2025-04/ABB-NPI-2025-Q1-v2_0.jpg: 403
2026-01-28T05:26:01.385114473Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.roycecrossgroup.com/documents/categories/ABB%20automation%20products.jpg: 403
2026-01-28T05:26:02.420181513Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.researchgate.net/publication/333132685/figure/fig3/AS:759109737537536@1557997273035/The-product-version-of-YuMi-located-at-ABB-Corporate-Research-in-Vaesteras-used-for-some.ppm: 403
2026-01-28T05:26:02.703835934Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] SerpAPI found 99 images for Rosemount
2026-01-28T05:26:02.703843160Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] Retrieved 99 images for Rosemount
2026-01-28T05:26:02.712007773Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.schneiderelectricrepair.com/wp-content/uploads/abb-new.jpg: 403
2026-01-28T05:26:03.297008589Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://img.medicalexpo.com/pdf/repository_me/4579566/abb-robotics-industrial-robots-product-range-267301_1mg.jpg: 403
2026-01-28T05:26:03.297013943Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://abbdrivesales.com/wp-content/uploads/2023/04/ACS380_Family.png: 403
2026-01-28T05:26:04.390982617Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://img.directindustry.com/images_di/photo-m2/62228-15369521.jpg: 403
2026-01-28T05:26:04.719362018Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.quicktimeonline.com/assets/images/products/3051c.png: 403
2026-01-28T05:26:04.743163478Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.sogears.com/images/brands/ABB/ABB-Circuit-Breakers/VD4-6.jpg: 403
2026-01-28T05:26:04.772073453Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.usabluebook.com/product/image/medium/17238_0.jpg: 403
2026-01-28T05:26:04.809873508Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.packagingstrategies.com/ext/resources/2025/03/11/ABB-Parcel-Inductor.png?height=418&t=1741720391&width=800: 403
2026-01-28T05:26:05.348541617Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://kecocontrols.com/wp-content/uploads/2024/12/NEW-Rosemount_8700_product_group_keco_controls_rand_cm0OA1egbl.jpg: 403
2026-01-28T05:26:05.348548189Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.designworldonline.com/wp-content/uploads/Emerson-at-Pack-Expo-2018-Rosemount-326-327-line.jpg: 403
2026-01-28T05:26:06.293831302Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://kecocontrols.com/wp-content/uploads/2024/12/UwML2uEVvQkRJIGE9Vl6_bHzJ85vMwudoLTKANfAt_Rsmnt_8732_6.jpg: 403
2026-01-28T05:26:06.627865724Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.usabluebook.com/product/image/medium/17232_0.jpg: 403
2026-01-28T05:26:06.671835744Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.galco.com/media/catalog/product/cache/fc23bd13b6bae631aaff5bf5aa384235/x/t/xt4nu3250eff000xxx-abb.jpg: 403
2026-01-28T05:26:06.798803729Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://img.directindustry.com/pdf/repository_di/36718/rosemount-3051-pressure-transmitter-699513_1mg.jpg: 403
2026-01-28T05:26:06.862421693Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.usabluebook.com/product/image/medium/17239_0.jpg: 403
2026-01-28T05:26:07.317206047Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://img.directindustry.com/pdf/repository_di/36718/rosemount-2140-level-detector-735546_1mg.jpg: 403
2026-01-28T05:26:07.414478578Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.galco.com/media/catalog/product/cache/fc23bd13b6bae631aaff5bf5aa384235/a/c/acs580-0p-03a9-6-f255g310-abb.jpg: 403
2026-01-28T05:26:07.635110131Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T05:26:07.635115508Z [err]  INFO:agentic.shared_agents:Validation complete: valid=False, score=0.00
2026-01-28T05:26:07.635120706Z [err]  WARNING:agentic.standards_rag.standards_rag_workflow:Validation failed: Issues: The response is a direct refusal to answer the user's question, stating a lack of relevant standards documents., No technical specifications or typical values for cable glands are provided, failing to address the core request., The response is not grounded in the provided context (as there was none), instead making a statement about the model's internal capabilities., No factual information about cable glands is provided, making the response inaccurate in terms of fulfilling the user's request.. The model should attempt to provide comprehensive technical specifications for cable glands based on common industrial standards (e.g., EN 62444, IEC 60079 series, UL 514B). It should provide typical values and ranges for the requested parameters, even if it cannot cite specific document numbers for every single value. For parameters that might not directly apply to a passive component like a cable gland (e.g., 'Performance: accuracy (%)'), it should explicitly state their non-applicability or interpret them in a relevant context (e.g., performance of the gland in maintaining IP rating). The response should synthesize information from its knowledge base to fulfill the user's detailed request.
2026-01-28T05:26:07.643179894Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 5] Making retry decision...
2026-01-28T05:26:07.643191500Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:Retrying (attempt 2/3)...
2026-01-28T05:26:07.643201733Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 3] Generating answer (attempt 9)...
2026-01-28T05:26:07.645018368Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 4] Validating response...
2026-01-28T05:26:07.645026448Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-flash (key #1/1, skip_test=True)
2026-01-28T05:26:07.729142068Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.lakelandengineering.com/wp-content/uploads/2025/05/Blog-Cover-Image-10.png: 403
2026-01-28T05:26:07.758093371Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-flash
2026-01-28T05:26:07.758103496Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent initialized
2026-01-28T05:26:07.758110494Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent validating response...
2026-01-28T05:26:07.758117643Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T05:26:07.845447511Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.plc2day.com/media/catalog/product/cache/436009313e933591a77ce0cc40ef3478/2/4/2405220004a.jpg: 403
2026-01-28T05:26:08.291341630Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.nexinstrument.com/assets/images/3051DP.jpg: 403
2026-01-28T05:26:08.316638924Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.quicktimeonline.com/assets/images/products/0305.png: 403
2026-01-28T05:26:09.503949369Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-01-28T05:26:09.522090947Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rosemount_b1ea189f2787482e65a782f6030b76d0.jpg
2026-01-28T05:26:09.548363617Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[LLM_SPECS] Iteration 1: Generated 17 specs, total: 17
2026-01-28T05:26:09.548370076Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[LLM_SPECS] Iteration 2: Need 13 more specs, requesting 15...
2026-01-28T05:26:09.548376081Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[LLM_SPECS] Using PARALLEL generation with 4 workers...
2026-01-28T05:26:09.548381813Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[PARALLEL] Generating specs with 4 parallel workers...
2026-01-28T05:26:09.548390010Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[WORKER-0] Starting parallel spec generation for focus area: Physical & Mechanical
2026-01-28T05:26:09.548395828Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T05:26:09.548400878Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[WORKER-1] Starting parallel spec generation for focus area: Electrical & Power
2026-01-28T05:26:09.548408362Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T05:26:09.548414665Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[WORKER-2] Starting parallel spec generation for focus area: Environmental & Safety
2026-01-28T05:26:09.549902801Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T05:26:09.551767782Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[WORKER-3] Starting parallel spec generation for focus area: Performance & Operational
2026-01-28T05:26:09.553780431Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T05:26:10.282174711Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.xktransmitter.com/uploads/202011694/rosemount-3051-1199ddf60affw72daa9ge-pressure53118096798.jpg: 403
2026-01-28T05:26:10.436677091Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rosemount_0db103e039a36253768781132557f8f2.jpg
2026-01-28T05:26:10.752738795Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Download error: HTTPSConnectionPool(host='new.abb.com', port=443): Read timed out. (read timeout=10)
2026-01-28T05:26:10.863243564Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://electrification.us.abb.com/sites/default/files/2024-01/ABB-NPI-2024-Q1.png: 403
2026-01-28T05:26:10.874168960Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T05:26:10.890095793Z [err]  INFO:agentic.shared_agents:Validation complete: valid=False, score=0.00
2026-01-28T05:26:10.890106275Z [err]  WARNING:agentic.standards_rag.standards_rag_workflow:Validation failed: Issues: The response completely failed to adhere to the critical instruction to 'Output ONLY a JSON object, no markdown, no explanations'. It provided plain text instead of JSON., The response did not provide any technical specifications for Variable Frequency Drives (VFDs) as requested by the user., The response provided an explanation/refusal ('I don't have any relevant standards documents...') which directly violates the instruction 'no explanations' within the output.. The model must strictly adhere to the output format requirements. Even if it cannot fulfill the content request, it should attempt to return a valid JSON object, perhaps indicating its inability to answer within that JSON structure (e.g., {"error": "Cannot provide VFD specifications without specific standards documents."}). Ideally, the model should attempt to provide typical or generic VFD specifications in the requested JSON format, stating that the values are representative rather than strictly from a single industrial standard if specific document access is truly unavailable.
2026-01-28T05:26:10.891799915Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 5] Making retry decision...
2026-01-28T05:26:10.891807315Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:Retrying (attempt 2/3)...
2026-01-28T05:26:10.893471781Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 3] Generating answer (attempt 3)...
2026-01-28T05:26:10.893479805Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 4] Validating response...
2026-01-28T05:26:10.893498040Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-flash (key #1/1, skip_test=True)
2026-01-28T05:26:10.969882437Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-flash
2026-01-28T05:26:10.969893301Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent initialized
2026-01-28T05:26:10.969899848Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent validating response...
2026-01-28T05:26:10.969904937Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T05:26:11.328913536Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.quicktimeonline.com/assets/images/products/3051s1tg.png: 403
2026-01-28T05:26:11.397069670Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.automationservice.com/wp-content/uploads/2013/12/Rosemount-3144-Transmitter-300x243.jpg: 403
2026-01-28T05:26:11.589711999Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.transcat.com/media/catalog/category/Rosemount-3144P-Temperature-Transmitter.jpg: 403
2026-01-28T05:26:11.880247029Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://esitechgroup.com/wp-content/uploads/2023/08/Rosemount-1208-Level-and-Flow-Transmitter-2.png: 403
2026-01-28T05:26:11.955460351Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://jmtest.com/cdn-cgi/image/width=600,height=800,/wp-content/uploads/2019/05/Rosemount-1151-Reconditioned-Rebuilt-Remanufactured.jpg: 403
2026-01-28T05:26:12.339218934Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.automationservice.com/wp-content/uploads/2013/09/rosemount-3051cg-transmitter-300x300.jpg: 403
2026-01-28T05:26:12.433694808Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.cfmcompany.com/wp-content/uploads/2021/01/580-198x300.jpg: 406
2026-01-28T05:26:12.546184391Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://cdn-ilchpln.nitrocdn.com/htVUFKTSIIPESQBwVTwUjHPOUvAnsGNr/assets/images/optimized/rev-0c7d391/winn-marion.com/wp-content/uploads/2022/12/ABB-Value-Provider-Logo-300x300.png: 404
2026-01-28T05:26:12.762796797Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://ibtinc.com/wp-content/uploads/Unsorted/Baldor-Motors2.png: 403
2026-01-28T05:26:12.826631241Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://img.medicalexpo.com/pdf/repository_me/4579566/product-specification-irb-5710-267315_1mg.jpg: 403
2026-01-28T05:26:13.336449103Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Download error: HTTPSConnectionPool(host='www.baldor.com', port=443): Read timed out. (read timeout=10)
2026-01-28T05:26:13.387369524Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.transcat.com/media/catalog/category/Rosemount-644-Temperature-Transmitter.jpg: 403
2026-01-28T05:26:13.434269048Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://esitechgroup.com/wp-content/uploads/2021/09/rosemount-5300-gwr-transmitter-3-front.jpg: 403
2026-01-28T05:26:13.495996980Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.nexinstrument.com/assets/images/ROSE_3051SCD-1.jpg: 403
2026-01-28T05:26:13.995165792Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.measurementinstrumentation.com/product-digital-demos/rosemount-3051-pressure-transmitters/assets/images/social/DigitalDemo1200x1200.jpg: 403
2026-01-28T05:26:14.004610013Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://dsgenterprisesltd.com/wp-content/uploads/2020/10/AMV_13.jpg: 406
2026-01-28T05:26:14.425091086Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://electrification.us.abb.com/sites/default/files/styles/industry_teaser_image/public/2023-04/jokab-safety_400x350.jpg?itok=L3OA6wSt: 403
2026-01-28T05:26:14.739797277Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rosemount_78bf968aeb0af89aebc9db27d6b85c66.webp
2026-01-28T05:26:15.414057634Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://img.directindustry.com/pdf/repository_di/36718/rosemount-5900c-radar-level-gauge-reliable-non-contact-measurement-tank-gauging-systems-988142_1mg.jpg: 403
2026-01-28T05:26:15.635991555Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] URL is not an image: text/html; charset="utf-8"
2026-01-28T05:26:15.688625920Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://aic-controls.com/wp-content/uploads/2022/06/Wall-of-ACS880-VFDs-1.jpg: 403
2026-01-28T05:26:16.692764578Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Download error: HTTPSConnectionPool(host='new.abb.com', port=443): Read timed out. (read timeout=10)
2026-01-28T05:26:17.378416538Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://manuals.plus/m/98dc3fc1b2a7844e2738642a138ac13c3e132e66e8694845b41b99165e23532e.png: 403
2026-01-28T05:26:17.445699928Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.xinyuan-transmitter.com/uploads/20179005/p201704061520016705070.jpg: 403
2026-01-28T05:26:17.459108327Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.cnbingde.com/wp-content/uploads/2025/02/Rosemount-644-Temperature-Transmitter-1-1.webp: 520
2026-01-28T05:26:17.617090834Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] Enriched 1 matches with images
2026-01-28T05:26:17.617098305Z [err]  INFO:product_search_workflow.vendor_analysis_tool:[VendorAnalysisTool] Fetching images for vendor: Yokogawa
2026-01-28T05:26:17.617103849Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] Fetching images for vendor: Yokogawa
2026-01-28T05:26:17.617109467Z [err]  WARNING:agentic.vendor_image_utils:[VENDOR_IMAGES] Google CSE credentials not configured
2026-01-28T05:26:17.617115251Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] No Google CSE results, trying SerpAPI...
2026-01-28T05:26:18.367412730Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rosemount_3f1ef0234d6d993b955c24204159a3bb.jpg
2026-01-28T05:26:18.367420627Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Download error: HTTPSConnectionPool(host='www.beelectricals.com', port=443): Read timed out. (read timeout=10)
2026-01-28T05:26:18.700329469Z [err]  INFO:agentic.vendor_image_utils:[CACHE_IMG] Uploaded to Azure: vendor_images/rosemount_9b197cbb979013db702d29e7ccb36fd9.jpg
2026-01-28T05:26:19.383406983Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download https://www.automationservice.com/wp-content/uploads/2013/09/rosemount-3051l-transmitter-300x300.jpg: 403
2026-01-28T05:26:19.409199939Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-01-28T05:26:19.417550503Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[WORKER-3] Generated 3 specs for focus area: Performance & Operational
2026-01-28T05:26:19.417556985Z [err]  INFO:agentic.deep_agent.llm_specs_generator:[PARALLEL] Worker 3 returned 3 specs
2026-01-28T05:26:20.354823789Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] URL is not an image: text/html; charset="utf-8"
2026-01-28T05:26:20.711517222Z [err]  WARNING:agentic.vendor_image_utils:[CACHE_IMG] Failed to download http://www.wtindustrialeqpt.com/Content/File_Img/S_Product/2016-08-29/201608291554015502528.jpg: 403
2026-01-28T05:26:21.480090052Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] Enriched 1 matches with images
2026-01-28T05:26:21.480094680Z [err]  INFO:product_search_workflow.vendor_analysis_tool:[VendorAnalysisTool] Fetching images for vendor: Siemens
2026-01-28T05:26:21.480101753Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] Fetching images for vendor: Siemens
2026-01-28T05:26:21.480107234Z [err]  WARNING:agentic.vendor_image_utils:[VENDOR_IMAGES] Google CSE credentials not configured
2026-01-28T05:26:21.480110913Z [err]  INFO:agentic.vendor_image_utils:[VENDOR_IMAGES] No Google CSE results, trying SerpAPI...
2026-01-28T05:26:21.541185550Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T05:26:21.541190659Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-01-28T05:26:21.549393650Z [err]  INFO:agentic.shared_agents:Validation complete: valid=False, score=0.00
2026-01-28T05:26:21.549399404Z [err]  WARNING:agentic.standards_rag.standards_rag_workflow:Validation failed: Issues: The response did not provide the requested technical specifications for a Variable Frequency Drive (VFD)., The response failed to adhere to the critical instruction to output ONLY valid JSON., The response is a refusal to answer the question, rather than an attempt to fulfill the request.. The model should attempt to provide technical specifications for a VFD, drawing upon general industrial knowledge if specific standards documents are not available. The response MUST be formatted as valid JSON, mapping the requested field names to appropriate values or ranges (e.g., 'Not applicable', 'Varies by model', or common industrial ranges). If a specific value cannot be provided, a descriptive string should be used within the JSON structure.
